"","code","idnum","pair","candidate","at.run","at.asso","at.press","at.presaut","at.vote","selected","woman","socideo","partyid","reg","trustfed","income.n","educ.n","polknow","vote.selling"
"107","11-4-1",11,4,1,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",0,1,2,3,1,4,11,6,0.712203050955142,0
"108","11-4-2",11,4,2,"Citizens CAN run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",1,1,2,3,1,4,11,6,0.712203050955142,0
"109","11-5-1",11,5,1,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CANNOT vote in the next two elections",0,1,2,3,1,4,11,6,0.712203050955142,0
"110","11-5-2",11,5,2,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",1,1,2,3,1,4,11,6,0.712203050955142,0
"111","12-1-1",12,1,1,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",0,2,3,3,1,3,10,6,0.984604893424343,0
"112","12-1-2",12,1,2,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CAN confront the Government","President CANNOT rule without Congress","Citizens CANNOT vote in the next two elections",1,2,3,3,1,3,10,6,0.984604893424343,0
"113","12-2-1",12,2,1,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",0,2,3,3,1,3,10,6,0.984604893424343,0
"114","12-2-2",12,2,2,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",1,2,3,3,1,3,10,6,0.984604893424343,0
"115","12-3-1",12,3,1,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",1,2,3,3,1,3,10,6,0.984604893424343,0
"116","12-3-2",12,3,2,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",0,2,3,3,1,3,10,6,0.984604893424343,0
"117","12-4-1",12,4,1,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",1,2,3,3,1,3,10,6,0.984604893424343,0
"118","12-4-2",12,4,2,"Citizens CAN run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",0,2,3,3,1,3,10,6,0.984604893424343,0
"119","12-5-1",12,5,1,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",0,2,3,3,1,3,10,6,0.984604893424343,0
"120","12-5-2",12,5,2,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",1,2,3,3,1,3,10,6,0.984604893424343,0
"121","13-1-1",13,1,1,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",0,1,3,3,1,4,11,6,0.625191504545021,0
"122","13-1-2",13,1,2,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",1,1,3,3,1,4,11,6,0.625191504545021,0
"123","13-2-1",13,2,1,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",0,1,3,3,1,4,11,6,0.625191504545021,0
"124","13-2-2",13,2,2,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",1,1,3,3,1,4,11,6,0.625191504545021,0
"125","13-3-1",13,3,1,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",1,1,3,3,1,4,11,6,0.625191504545021,0
"126","13-3-2",13,3,2,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CANNOT vote in the next two elections",0,1,3,3,1,4,11,6,0.625191504545021,0
"127","13-4-1",13,4,1,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CANNOT vote in the next two elections",0,1,3,3,1,4,11,6,0.625191504545021,0
"128","13-4-2",13,4,2,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",1,1,3,3,1,4,11,6,0.625191504545021,0
"129","13-5-1",13,5,1,"Citizens CAN run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CAN confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",0,1,3,3,1,4,11,6,0.625191504545021,0
"130","13-5-2",13,5,2,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",1,1,3,3,1,4,11,6,0.625191504545021,0
"131","14-1-1",14,1,1,"Citizens CAN run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",0,1,5,2,1,2,7,6,1.12490832989165,0
"132","14-1-2",14,1,2,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",1,1,5,2,1,2,7,6,1.12490832989165,0
